Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled from Two-Way Mirror / Hedge Projects,Dan Graham,2281,"(American, 1942–2022)",(American),(1942),(2022),(male),2004,"Etching with chine collé from a portfolio of six etchings and five digital prints, with chine collé; and one letterpress print with artist's text","plate: 5 1/4 × 7 3/4"" (13.4 × 19.7 cm); sheet: 13 1/4 × 14 15/16"" (33.7 × 38 cm)","Acquired through the generosity of John Baldessari, Catie and Donald Marron, and Mary M. and Sash A. Spencer",1656.2015.4,Print,Drawings & Prints,2015-10-27,Y,199393,https://www.moma.org/collection/works/199393,https://www.moma.org/media/W1siZiIsIjM0MjkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=628a6859a0ce4f3b,,,,,13.4,,,19.7,,
Poster for a Noh Play,Tadanori Yokoo,6502,"(Japanese, born 1936)",(Japanese),(1936),(0),(male),1969,Silkscreen,"40 1/2 x 28 3/4"" (102.9 x 73 cm)",Gift of the designer,492.1970,Design,Architecture & Design,1970-11-05,Y,7240,https://www.moma.org/collection/works/7240,https://www.moma.org/media/W1siZiIsIjUxOTk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c1f6649378aab7fb,,,,,102.9,,,73.0,,
"Untitled, plate 15 of 15, from the series, Nature Study",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),2009,"Drypoint, with hand additions","plate: 9 x 6 7/16"" (22.8 x 16.4 cm); sheet: 11 15/16 x 9"" (30.4 x 22.8 cm)",Gift of the artist,1581.2012,Print,Drawings & Prints,2012-10-03,Y,150685,https://www.moma.org/collection/works/150685,https://www.moma.org/media/W1siZiIsIjI2NjU5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b88480c7aea4e2a6,,,,,22.8,,,16.4,,
"1966, 1967, 1969, 1970",Bernar Venet,6127,"(French, born 1941)",(French),(1941),(0),(male),(1972),One from a portfolio of ten offsets and screenprints,,Gift of Donald Karshan,1097.1979.10,Print,Drawings & Prints,1979-12-04,Y,144856,https://www.moma.org/collection/works/144856,https://www.moma.org/media/W1siZiIsIjI0MDUyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7fed1559ba41fa16,,,,,,,,,,
"Page from Sketchbook #10, Paris",Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1949-50,Page from a spiral-bound sketchbook with pencil on paper,"13 3/8 × 10 7/8"" (34 × 27.6 cm)",Gift of Jack Shear,339.2020.28,Notebook,Drawings & Prints,2020-12-09,N,439885,,,,,0.0,,34.0,,,27.6,,
Letter X (Buchstabe X) from the illustrated book in portfolio form The ABCs (Das ABC),Lovis Corinth,1243,"(German, 1858–1925)",(German),(1858),(1925),(male),"(1916, published 1917)",Lithograph,"composition (irreg.): 11 13/16 x 9 3/8"" (30 x 23.8 cm); sheet: 20 1/16 x 15 1/4"" (51 x 38.8 cm)",Gift of J.B. Neumann,360.1956,Print,Drawings & Prints,1956-10-25,Y,67677,https://www.moma.org/collection/works/67677,https://www.moma.org/media/W1siZiIsIjEyMDM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9c278f061731cc34,,,,,30.0,,,23.8,,
Cat (Katze),Christian Rohlfs,5000,"(German, 1849–1938)",(German),(1849),(1938),(male),(1913),Stencil with spray and spatter,"composition (irreg.): 7 5/16 x 11 9/16"" (18.5 x 29.4 cm); sheet (irreg.): 7 5/16 x 11 9/16"" (18.5 x 29.4 cm)",Matthew T. Mellon Foundation Fund,44.1962,Print,Drawings & Prints,1962-01-09,Y,60809,https://www.moma.org/collection/works/60809,https://www.moma.org/media/W1siZiIsIjE1MTkxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5b2b1cbcb1647205,,,,,18.5,,,29.4,,
Untitled from 15 Original Etchings/Serigraphs,Frank K. Bacher,7843,"(American, born Switzerland)",(American),(0),(0),(male),1946,Screenprint,"composition: 6 7/16 × 8 11/16"" (16.3 × 22 cm); sheet: 13 1/16 × 17"" (33.1 × 43.2 cm)",Gift of the Judith Rothschild Foundation,133.1998.5,Print,Drawings & Prints,1998-03-05,Y,447586,https://www.moma.org/collection/works/447586,https://www.moma.org/media/W1siZiIsIjU0MTM2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=afd277a770cd0438,,,,,16.3,,,22.0,,
Twelve Pictures,Vito Acconci,53,"(American, 1940–2017)",(American),(1940),(2017),(male),1969,Typewriting on paper and twelve gelatin silver prints on twelve sheets of paper,"each: 11 × 8 1/2"" (27.9 × 21.6 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1358.2018.a-m,Drawing,Drawings & Prints,2018-11-05,Y,288820,https://www.moma.org/collection/works/288820,https://www.moma.org/media/W1siZiIsIjQ2NDk0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5057923b719e8735,,,,,27.9400558801,,,21.5900431801,,
Desert (Désert) from the portfolio Theater of the Earth (Théâtre du sol) from Phenomena (Les Phénomènes),Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(male),1959,One from a portfolio of eighteen lithographs,"composition: 20 9/16 x 15 9/16"" (52.3 x 39.6 cm); sheet: 25 1/16 x 17 13/16"" (63.7 x 45.2 cm)",Gift of Mr. and Mrs. Ralph F. Colin,729.1965.11,Print,Drawings & Prints,1965-11-09,Y,143480,https://www.moma.org/collection/works/143480,https://www.moma.org/media/W1siZiIsIjIwNDM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c837eab8b3257872,,,,,52.3,,,39.6,,
Pikasso i okrestnosti (Picasso and Environs),Alexandra Exter,1784,"(Russian, 1882–1949)",(Russian),(1882),(1949),(female),1917,Book,"page (each, irreg.): 10 5/8 x 8"" (27 x 20.3 cm)",Gift of The Judith Rothschild Foundation,909.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,27983,https://www.moma.org/collection/works/27983,https://www.moma.org/media/W1siZiIsIjI0ODMwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9da9cc7f9d643a3e,,,,,27.0,,,20.3,,
"ABSALOM'S TOMB, JERUSALEM (Plate 23)",Francis Frith,2015,"(British, 1822–1898)",(British),(1822),(1898),(male),1857,Albumen silver print,"8 1/2 × 6 1/4"" (21.6 × 15.9 cm)",Acquired by exchange with George Eastman House,41.1974.24,Photograph,Photography,,N,44549,,,,,,,21.6,,,15.9,,
Untitled,Ulises Carrión,45664,"(Mexican, 1941–1989)",(Mexican),(1941),(1989),(male),1976,Cut-and-pasted paper on A4 paper,"11 5/8 x 8 1/4"" (29.6 x 21 cm)",Committee on Drawings Funds,268.2014,Drawing,Drawings & Prints,2014-05-14,Y,179801,https://www.moma.org/collection/works/179801,https://www.moma.org/media/W1siZiIsIjI5ODczMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=387bf754abcbbe24,,,,,29.6,,,21.0,,
"Page from Sketchbook #18, Paris & Sanary",Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1951-52,"Page from a spiral-bound sketchbook with pencil, ink, flet-tip pen, watercolor, and colored pencil on paper","8 5/8 × 5 3/8"" (21.9 × 13.7 cm)",Gift of Jack Shear,343.2020.140,Notebook,Drawings & Prints,2020-12-09,N,440282,,,,,0.0,,21.9,,,13.7,,
Fakt (Fact),Igor' Terent'ev,12509,"(Russian, 1892–1937)",(Russian),(1892),(1937),(male),1919,Book with letterpress typographic designs,"page: 6 13/16 x 5 3/8"" (17.3 x 13.7 cm)",Gift of The Judith Rothschild Foundation,120.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11646,https://www.moma.org/collection/works/11646,,,,,,17.3,,,13.7,,
Aulnay. Vallée aux loups. Maison de Chateaubriand,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1901,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1421,Photograph,Photography,1968-03-06,N,39349,,,,,,,,,,,,
Shadowgraph subject:  Le Tour du Monde de John Sellery 3,,,,,,,,c. 1900-05,,,Film Study Center Special Collections,F2012.1291,Work on Paper,Film,,N,195829,,,,,,,,,,,,
v. Stosch; Prince Pless; v. Kamecke; v. Sperling; v. Treskow; v. Podbielski,"Unidentified photographer, Various Unidentified Artists","8595, 24184",,() (),(0) (0),(0) (0),() (),1870-71,Albumen silver prints,"(each approx.): 3 7/16 × 2 1/8"" (8.8 × 5.4 cm)","Gift of Harry H. Lunn, Jr.",602.1987.8.a-f,Photograph,Photography,1987-12-10,N,92009,,,,,,,8.8,,,5.4,,
Page from Sketchbook #68,Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1976,Page from a spiral-bound sketchbook with pencil on paper,"17 × 14 3/4"" (43.2 × 37.5 cm)",Gift of Jack Shear,358.2020.8,Notebook,Drawings & Prints,2020-12-09,N,441205,,,,,,,43.2,,,37.5,,
Untitled,William Gedney,2105,"(American, 1932–1989)",(American),(1932),(1989),(male),1969-71,"Gelatin silver print, printed 1974","10 3/4 × 7 1/8"" (27.3 × 18.2 cm)",Gift of the artist,268.1985,Photograph,Photography,1985-10-02,Y,49778,https://www.moma.org/collection/works/49778,https://www.moma.org/media/W1siZiIsIjE4NjY5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fd0ec59cea8883cf,,,,,27.3,,,18.2,,
Pile,Gerald Laing,3344,"(British, 1936–2011)",(British),(1936),(2011),(male),1965,Lithograph,"composition (irreg.): 25 9/16 × 13 3/8"" (65 × 33.9 cm); sheet: 30 3/8 × 22 5/8"" (77.2 × 57.4 cm)","Gift of Kleiner, Bell & Co.",1563.1967,Print,Drawings & Prints,1969-12-04,Y,77167,https://www.moma.org/collection/works/77167,https://www.moma.org/media/W1siZiIsIjU0OTQzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2c930077fc2c7436,,,,,65.0,,,33.9,,
Mangeurs d'oiseaux from Matière et mémoire ou les lithographies à l'école,Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(male),"1944, published 1945",Lithograph,"page: 12 13/16 x 9 15/16"" (32 x 25.2 cm)",The Louis E. Stern Collection,806.1964.20,Illustrated Book,Drawings & Prints,1964-10-06,Y,25121,https://www.moma.org/collection/works/25121,https://www.moma.org/media/W1siZiIsIjUxOTMxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=75fa4e9c3945b257,,,,,32.4,,,21.6,,
"DEEP WATERS, plate X (folio 24) from ELEMENTS",Roger Vieillard,6150,"(French, 1907–1989)",(French),(1907),(1989),(male),1957,,"plate  10 9/16 x 8 3/16"" (26.8 x 20.8 cm)",Gift of Miss Rose Fried,412.1958.11,Illustrated Book,Drawings & Prints,1958-12-19,N,16828,,,,,,,26.8,,,20.8,,
Junction,Sam Contis,68380,"(American, born 1982)",(American),(1982),(0),(female),2015,Gelatin silver print,"30 × 23 3/4"" (76.2 × 60.3 cm)
",Acquired through the generosity of Thomas and Susan Dunn,9.2018,Photograph,Photography,2018-01-24,Y,222498,https://www.moma.org/collection/works/222498,https://www.moma.org/media/W1siZiIsIjQ3NzI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=a89a33e154257ffd,,,,,76.2001524003,,,60.3251206502,,
Winston Churchill Boarding the Train,British War Office,11350,,(),(0),(0),(),1941,Gelatin silver print,"7 7/16 × 9 1/2"" (18.9 × 24.1 cm)",John Parkinson III Fund,39.1991,Photograph,Photography,1991-03-14,Y,44490,https://www.moma.org/collection/works/44490,https://www.moma.org/media/W1siZiIsIjIxMzY0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=f3315a24388b0651,,,,,18.9,,,24.1,,
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1980,Photographic reproduction with colored synthetic laminate,"20 x 20""(50.8 x 50.8 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,6.1995,Architecture,Architecture & Design,1995-01-17,Y,38,https://www.moma.org/collection/works/38,https://www.moma.org/media/W1siZiIsIjUyNzcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ab3cb4352bfb394f,,,,,50.8,,,50.8,,
Façade -- Cluny,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1922,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.587,Photograph,Photography,1968-03-06,N,43407,,,,,,,,,,,,
Quarta Margem,André Komatsu,41578,"(Brazilian, born 1978)",(Brazilian),(1978),(0),(male),2010,Artist's book,"overall (closed): 7 15/16 x 11 13/16 x 7/8"" (20.2 x 30 x 2.3 cm); case: 8 5/16 x 12 x 1 1/8"" (21.1 x 30.5 x 2.9 cm)",General Print Fund,1650.2012,Illustrated Book,Drawings & Prints,2012-10-03,Y,158067,https://www.moma.org/collection/works/158067,https://www.moma.org/media/W1siZiIsIjI2MDE0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=da47f9ee66a37dff,,,2.3,,20.2,,,30.0,,
"Omniplan (Logotype for Omniplan, a Dallas-based architectural firm)",Tomoko Miho,3970,"(American, 1931– 2012)",(American),(1931),(2012),(female),1970,Silkscreen on mylar,,Gift of the designer,490.1970,Design,Architecture & Design,1970-11-05,N,7224,,,,,,,,,,,,
"The Manhattan Transcripts Project, New York, New York, Episode 3: The Tower (The Fall)",Bernard Tschumi,7056,"(French and Swiss, born Switzerland 1944)",(),(1944),(0),(male),1979,Ink on tracing paper,"48 x 24"" (121.9 x 61 cm)",Purchase and partial gift of the architect in honor of Lily Auchincloss,7.1995.2,Architecture,Architecture & Design,1995-01-17,Y,43,https://www.moma.org/collection/works/43,https://www.moma.org/media/W1siZiIsIjUyNzc0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d65e9ed89c3c9316,,,,,121.9,,,61.0,,
«PU» N° 268 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(male),1991,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.273,Drawing,Drawings & Prints,2019-04-04,Y,299292,https://www.moma.org/collection/works/299292,https://www.moma.org/media/W1siZiIsIjQ2MjkxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=27bb657a8f89b087,,,0.0,,9.8,,,14.9,,
Entrée des jardins,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1921-22,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.1198,Photograph,Photography,1968-03-06,Y,39100,https://www.moma.org/collection/works/39100,https://www.moma.org/media/W1siZiIsIjE0OTE0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4d354f07ff71c61f,,,,,,,,,,
"Apartment Buildings, West Diversey Parkway and Lake Shore Drive, Chicago, IL (High-rise floor plan.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1956—1958,Pencil and colored pencil on paper,(62.2 x 80 cm.),"Mies van der Rohe Archive, gift of the architect",MR5603.23,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,463605,,,,,,,,,,,,
2 Hooks,Mark di Suvero,5743,"(American, born China. 1933)",(American),(1933),(0),(male),1971-82,Steel,"40 x 30 1/2 x 18"" (101.6 x 77.5 x 45.7 cm)",Gift of Edward R. Broida,692.2005.a-b,Sculpture,Painting & Sculpture,2005-10-06,Y,100229,https://www.moma.org/collection/works/100229,,,,53.3401,,96.5202,,,78.7402,,
Untitled [enlarged photographs],Alfred Capel Cure,959,"(British, 1826–1896)",(British),(1826),(1896),(male),March 1857,Salted paper print,"9 1/8 × 7"" (23.2 × 17.8 cm)",Gift of Edmund J. McRickard,2.1983.38,Photograph,Photography,1983-01-13,N,45520,,,,,,,23.2,,,17.8,,
"The Heart (Le Coeur) (plate VII, pages 50 and 51) from Jazz",Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(male),"1943–47, published 1947",Pochoir from an illustrated book with twenty pochoirs,"composition (irreg.): 14 15/16 × 23 13/16"" (38 × 60.5 cm); sheet: 16 5/8 × 25 9/16"" (42.2 × 65 cm)",The Louis E. Stern Collection,930.1964.7,Illustrated Book,Drawings & Prints,1964-10-06,Y,28466,https://www.moma.org/collection/works/28466,https://www.moma.org/media/W1siZiIsIjI4MDY4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=49f623b571f40527,,,,,38.0,,,60.5,,
"Kurshudt Manufacturing Co., New York City",Lewis Wickes Hine,2657,"(American, 1874–1940)",(American),(1874),(1940),(male),1911,Gelatin silver print,"4 3/4 × 6 5/8"" (12 × 16.9 cm)",Gift of Herbert Weller,484.2013,Photograph,Photography,2013-05-09,Y,168520,https://www.moma.org/collection/works/168520,https://www.moma.org/media/W1siZiIsIjI3MTkyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=b90d5b32cc00b6b7,,,,,12.0,,,16.9,,
Cardboard Landscapes,Luigi Ghirri,39882,"(Italian, 1943–1992)",(Italian),(1943),(1992),(male),1971-73,Chromogenic color prints on album page,"9 7/16 × 9 1/16"" (23.9 × 23 cm)",Gift of the artist,452.2013.13,Photograph,Photography,2013-05-09,Y,298893,https://www.moma.org/collection/works/298893,https://www.moma.org/media/W1siZiIsIjQ1NjkyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c421ba89d3a07fe8,,,5.0,,25.0,,,26.0,,
Untitled,Unidentified photographer,8595,,(),(0),(0),(),1968,Color instant print (Polaroid),"4 1/4 × 3 3/8"" (10.8 × 8.5 cm)",Gift of Peter J. Cohen,647.2010,Photograph,Photography,2010-10-07,Y,141092,https://www.moma.org/collection/works/141092,https://www.moma.org/media/W1siZiIsIjMyMjM1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ad55814d442c009b,,,,,10.8,,,8.5,,
Untitled from Favorite Objects,Christian Boltanski,649,"(French, 1944–2021)",(French),(1944),(2021),(male),1998,One from a portfolio of 264 color Xeroxes,"composition: 10 13/16 x 8 5/16"" (27.4 x 21.1 cm); sheet: 11 x 8 9/16"" (28 x 21.7 cm)","Gift of Lee and Ann Fensterstock, in honor of their daughters, Kate and Jane",155.1999.110,Print,Drawings & Prints,1999-05-20,N,134037,,,,,,,27.4,,,21.1,,
Cityscape,Jan Matulka,3848,"(American, born Bohemia. 1890–1972)",(American),(1890),(1972),(male),(c. 1925),Crayon on paper,"10 7/8 x 8 3/8"" (27.8 x 21.5 cm)",Gift of Mrs. Jan Matulka,446.1981,Drawing,Drawings & Prints,1981-11-13,Y,36951,https://www.moma.org/collection/works/36951,https://www.moma.org/media/W1siZiIsIjQwMjYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4cc25abab54e556c,,,,,27.6,,,21.3,,
"Untitled from ""Spanish Villiage""",W. Eugene Smith,5496,"(American, 1918–1978)",(American),(1918),(1978),(male),1950,Gelatin silver print,"Approx. 8 7/8 × 13 7/16"" (22.5 × 34.1 cm)",Purchase,513.1959,Photograph,Photography,1959-04-22,Y,54581,https://www.moma.org/collection/works/54581,https://www.moma.org/media/W1siZiIsIjUxODAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=86f3c86f871716fa,,,,,22.5,,,34.1,,
